# worker,day,shift,availability
0,1,1,100
1,1,1,100
2,1,1,100
3,1,1,25
4,1,1,50
5,1,1,25
6,1,1,0
7,1,1,0
8,1,1,0
9,1,1,0
0,1,2,100
1,1,2,100
2,1,2,25
3,1,2,25
4,1,2,25
5,1,2,25
6,1,2,0
7,1,2,0
8,1,2,100
9,1,2,0
0,2,1,50
1,2,1,100
2,2,1,100
3,2,1,50
4,2,1,0
5,2,1,50
6,2,1,100
7,2,1,0
8,2,1,50
9,2,1,0
0,2,2,50
1,2,2,100
2,2,2,100
3,2,2,0
4,2,2,50
5,2,2,100
6,2,2,0
7,2,2,100
8,2,2,0
9,2,2,50
0,3,1,50
1,3,1,0
2,3,1,0
3,3,1,50
4,3,1,0
5,3,1,0
6,3,1,0
7,3,1,50
8,3,1,0
9,3,1,100
0,3,2,100
1,3,2,50
2,3,2,0
3,3,2,0
4,3,2,0
5,3,2,50
6,3,2,0
7,3,2,50
8,3,2,100
9,3,2,50
0,4,1,0
1,4,1,100
2,4,1,100
3,4,1,100
4,4,1,50
5,4,1,50
6,4,1,100
7,4,1,50
8,4,1,50
9,4,1,100
0,4,2,50
1,4,2,100
2,4,2,50
3,4,2,50
4,4,2,0
5,4,2,50
6,4,2,100
7,4,2,100
8,4,2,0
9,4,2,0
0,5,1,100
1,5,1,50
2,5,1,0
3,5,1,50
4,5,1,50
5,5,1,100
6,5,1,0
7,5,1,50
8,5,1,0
9,5,1,100
0,5,2,50
1,5,2,100
2,5,2,0
3,5,2,100
4,5,2,100
5,5,2,0
6,5,2,50
7,5,2,100
8,5,2,100
9,5,2,100
0,6,1,50
1,6,1,50
2,6,1,0
3,6,1,50
4,6,1,100
5,6,1,50
6,6,1,0
7,6,1,100
8,6,1,50
9,6,1,50
0,6,2,50
1,6,2,100
2,6,2,100
3,6,2,0
4,6,2,50
5,6,2,0
6,6,2,50
7,6,2,100
8,6,2,100
9,6,2,0
0,7,1,100
1,7,1,50
2,7,1,0
3,7,1,0
4,7,1,100
5,7,1,100
6,7,1,0
7,7,1,0
8,7,1,50
9,7,1,100
0,7,2,50
1,7,2,0
2,7,2,0
3,7,2,50
4,7,2,100
5,7,2,100
6,7,2,50
7,7,2,100
8,7,2,0
9,7,2,100
0,8,1,0
1,8,1,100
2,8,1,100
3,8,1,100
4,8,1,100
5,8,1,0
6,8,1,100
7,8,1,50
8,8,1,50
9,8,1,100
0,8,2,50
1,8,2,50
2,8,2,100
3,8,2,50
4,8,2,100
5,8,2,50
6,8,2,100
7,8,2,50
8,8,2,50
9,8,2,100
0,9,1,50
1,9,1,100
2,9,1,100
3,9,1,100
4,9,1,100
5,9,1,50
6,9,1,0
7,9,1,0
8,9,1,0
9,9,1,0
0,9,2,50
1,9,2,50
2,9,2,0
3,9,2,50
4,9,2,0
5,9,2,0
6,9,2,100
7,9,2,50
8,9,2,50
9,9,2,0
0,10,1,0
1,10,1,50
2,10,1,100
3,10,1,100
4,10,1,100
5,10,1,50
6,10,1,0
7,10,1,50
8,10,1,100
9,10,1,50
0,10,2,100
1,10,2,0
2,10,2,50
3,10,2,100
4,10,2,50
5,10,2,50
6,10,2,100
7,10,2,0
8,10,2,0
9,10,2,50
