# worker,day,shift,availability
0,1,1,52
0,1,2,8
0,1,3,52
0,2,1,95
0,2,2,90
0,2,3,1
0,3,1,88
0,3,2,31
0,3,3,67
0,4,1,62
0,4,2,79
0,4,3,63
0,5,1,16
0,5,2,11
0,5,3,68
1,1,1,63
1,1,2,77
1,1,3,56
1,2,1,1
1,2,2,30
1,2,3,16
1,3,1,33
1,3,2,89
1,3,3,48
1,4,1,9
1,4,2,86
1,4,3,52
1,5,1,42
1,5,2,64
1,5,3,94
2,1,1,15
2,1,2,96
2,1,3,45
2,2,1,31
2,2,2,12
2,2,3,23
2,3,1,96
2,3,2,66
2,3,3,82
2,4,1,16
2,4,2,94
2,4,3,17
2,5,1,66
2,5,2,22
2,5,3,20
3,1,1,27
3,1,2,3
3,1,3,73
3,2,1,27
3,2,2,34
3,2,3,49
3,3,1,44
3,3,2,86
3,3,3,97
3,4,1,8
3,4,2,27
3,4,3,57
3,5,1,18
3,5,2,16
3,5,3,92
4,1,1,20
4,1,2,49
4,1,3,86
4,2,1,82
4,2,2,94
4,2,3,67
4,3,1,54
4,3,2,20
4,3,3,77
4,4,1,49
4,4,2,90
4,4,3,89
4,5,1,99
4,5,2,7
4,5,3,89
5,1,1,23
5,1,2,80
5,1,3,87
5,2,1,88
5,2,2,5
5,2,3,42
5,3,1,25
5,3,2,8
5,3,3,84
5,4,1,66
5,4,2,56
5,4,3,20
5,5,1,67
5,5,2,36
5,5,3,43
6,1,1,73
6,1,2,67
6,1,3,38
6,2,1,29
6,2,2,3
6,2,3,31
6,3,1,97
6,3,2,91
6,3,3,20
6,4,1,95
6,4,2,54
6,4,3,77
6,5,1,95
6,5,2,96
6,5,3,85
7,1,1,94
7,1,2,56
7,1,3,12
7,2,1,87
7,2,2,61
7,2,3,76
7,3,1,74
7,3,2,97
7,3,3,98
7,4,1,70
7,4,2,28
7,4,3,71
7,5,1,59
7,5,2,62
7,5,3,55
8,1,1,54
8,1,2,64
8,1,3,78
8,2,1,37
8,2,2,1
8,2,3,52
8,3,1,88
8,3,2,55
8,3,3,58
8,4,1,64
8,4,2,15
8,4,3,42
8,5,1,71
8,5,2,22
8,5,3,84
9,1,1,87
9,1,2,31
9,1,3,40
9,2,1,41
9,2,2,52
9,2,3,90
9,3,1,62
9,3,2,53
9,3,3,73
9,4,1,96
9,4,2,77
9,4,3,81
9,5,1,95
9,5,2,71
9,5,3,0
%
